127.0.0.1, 2018-04-02 13:20:14, GET, /, HTTP/1.1, 303, 0.831000
127.0.0.1, 2018-04-02 13:20:17, GET, /welcome/default/index, HTTP/1.1, 200, 2.595000
127.0.0.1, 2018-04-02 13:20:17, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-02 13:20:17, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-02 13:20:17, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-02 13:20:17, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 13:20:17, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-02 13:20:17, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-02 13:20:17, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-02 13:20:17, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-04-02 13:20:17, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-04-02 13:20:17, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-04-02 13:20:17, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 13:20:17, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 13:20:17, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 13:20:17, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 13:20:17, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 13:20:55, GET, /start, HTTP/1.1, 200, 2.386000
127.0.0.1, 2018-04-02 13:20:55, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.010000
127.0.0.1, 2018-04-02 13:20:55, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.016000
127.0.0.1, 2018-04-02 13:20:56, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.034000
127.0.0.1, 2018-04-02 13:20:56, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.024000
127.0.0.1, 2018-04-02 13:20:56, GET, /start/static/js/vue.js, HTTP/1.1, 200, 0.033000
127.0.0.1, 2018-04-02 13:20:56, GET, /start/static/js/default_index.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-04-02 13:20:56, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.163000
127.0.0.1, 2018-04-02 13:20:56, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.162000
127.0.0.1, 2018-04-02 13:20:56, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.159000
127.0.0.1, 2018-04-02 13:20:56, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.163000
127.0.0.1, 2018-04-02 13:20:56, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.042000
127.0.0.1, 2018-04-02 13:20:56, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.043000
127.0.0.1, 2018-04-02 13:20:56, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.225000
127.0.0.1, 2018-04-02 13:20:56, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-04-02 13:20:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-02 13:20:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-02 13:21:22, GET, /start, HTTP/1.1, 200, 0.092000
127.0.0.1, 2018-04-02 13:21:29, GET, /start/default/index, HTTP/1.1, 200, 0.028000
127.0.0.1, 2018-04-10 12:46:31, GET, /, HTTP/1.1, 303, 0.834000
127.0.0.1, 2018-04-10 12:46:33, GET, /welcome/default/index, HTTP/1.1, 200, 1.870000
127.0.0.1, 2018-04-10 12:46:33, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.029000
127.0.0.1, 2018-04-10 12:46:33, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.042000
127.0.0.1, 2018-04-10 12:46:33, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.057000
127.0.0.1, 2018-04-10 12:46:33, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.111000
127.0.0.1, 2018-04-10 12:46:33, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.022000
127.0.0.1, 2018-04-10 12:46:33, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.130000
127.0.0.1, 2018-04-10 12:46:33, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.042000
127.0.0.1, 2018-04-10 12:46:33, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.162000
127.0.0.1, 2018-04-10 12:46:34, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.227000
127.0.0.1, 2018-04-10 12:46:34, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.253000
127.0.0.1, 2018-04-10 12:46:34, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-04-10 12:46:34, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.024000
127.0.0.1, 2018-04-10 12:46:34, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.094000
127.0.0.1, 2018-04-10 12:46:34, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.107000
127.0.0.1, 2018-04-10 12:46:34, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.110000
127.0.0.1, 2018-04-17 14:28:50, GET, /, HTTP/1.1, 303, 0.830000
127.0.0.1, 2018-04-17 14:28:54, GET, /welcome/default/index, HTTP/1.1, 200, 4.028000
127.0.0.1, 2018-04-17 14:28:54, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.028000
127.0.0.1, 2018-04-17 14:28:54, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.066000
127.0.0.1, 2018-04-17 14:28:54, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.188000
127.0.0.1, 2018-04-17 14:28:54, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.190000
127.0.0.1, 2018-04-17 14:28:54, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.182000
127.0.0.1, 2018-04-17 14:28:54, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.118000
127.0.0.1, 2018-04-17 14:28:54, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.169000
127.0.0.1, 2018-04-17 14:28:54, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.223000
127.0.0.1, 2018-04-17 14:28:54, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.073000
127.0.0.1, 2018-04-17 14:28:54, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.085000
127.0.0.1, 2018-04-17 14:28:54, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.013000
127.0.0.1, 2018-04-17 14:28:54, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.003000
